"Issue","Category","Severity","Guidance","Component","Location","Line #","Module","Type","Member","Statement","Comments"
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","330","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","340","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","350","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","360","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","370","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","380","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","390","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","400","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","410","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","420","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","430","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","440","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","450","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","460","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","470","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","480","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
"web-avoid-eval","Security","Critical","https://developer.mozilla.org/docs/Web/JavaScript/Reference/Global_Objects/eval","WebResource","/ftdemo_CustomLeadSummary.LeadSummaryControl/bundle.js","490","","","","","Usage of the JavaScript eval function should be limited where possible.  The eval function can be a dangerous function as it allows strings to be executed as scripts within the context of the caller.  This can be exploited to run malicious code.  Eval is also usually slower than other options due to the lack of optimizations of the script text passed to eval. If this error is reported for a Power Apps component framework code component created using CLI tooling, package your control with 'msbuild /p:configuration=Release' or 'npm run build -- --buildMode production' to produce a release build that does not include 'eval' usage."
